"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"960","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 15:22:57,FALSE,NA,"936254230146506752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dolorsDolorsv",2130,TRUE,FALSE,NA,NA
"961","RT @ChristinaSNP: @CatalansForYes Spain bans the colour yellow! 
In solidarity with #Catalonia let’s light up the world in yellow. https://…",FALSE,0,NA,2017-11-30 15:22:53,FALSE,NA,"936254212312244224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JFKS",136,TRUE,FALSE,NA,NA
"962","RT @MfHau: Asking @sapoconcho how things are going in #Catalonia: 
-Well, we can't complain
-Everything's alright then?
-No no, I mean we l…",FALSE,0,NA,2017-11-30 15:21:58,FALSE,NA,"936253979264274432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sapoconcho",184,TRUE,FALSE,NA,NA
"963","RT @KarnaMikko: I strongly recommend everyone to sign this petition for #Catalonia's leaders immediate release. #helpcatalonia https://t.co…",FALSE,0,NA,2017-11-30 15:20:51,FALSE,NA,"936253698967293952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElisaCa61",811,TRUE,FALSE,NA,NA
"964","@guyverhofstadt What about the propaganda in Spain against #Catalonia?! Please don't be a hypocrite! I am so disappointed in you and the EU.",FALSE,20,"guyverhofstadt",2017-11-30 15:20:23,FALSE,"936253187291598849","936253583510695936","856010760","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ForfarFairLady",4,FALSE,FALSE,NA,NA
"965","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:20:16,FALSE,NA,"936253554246987776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scatala1959",637,TRUE,FALSE,NA,NA
"966","RT @simongerman600: Helpful #map when trying to understand why rich #Catalonia is pushing for independence right now... https://t.co/sPpnXV…",FALSE,0,NA,2017-11-30 15:19:15,FALSE,NA,"936253295605231618",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","teresapimpam",31,TRUE,FALSE,NA,NA
"967","RT @art_educ: Hello @dina_goldstein yesterday I have been talking about art to a hundred teachers in the teaching network of #Catalonia @xa…",FALSE,0,NA,2017-11-30 15:18:15,FALSE,NA,"936253044261576704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DonesArtistes",5,TRUE,FALSE,NA,NA
"968","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:18:11,FALSE,NA,"936253026901417984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joanm63",637,TRUE,FALSE,NA,NA
"969","RT @MfHau: Asking @sapoconcho how things are going in #Catalonia: 
-Well, we can't complain
-Everything's alright then?
-No no, I mean we l…",FALSE,0,NA,2017-11-30 15:17:36,FALSE,NA,"936252883460378624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","car_soba",184,TRUE,FALSE,NA,NA
"970","RT @avanconia: Total media blackout and social web censoring on #Catalonia.

The fascists rulers of Spain have taken their rights.

The mil…",FALSE,0,NA,2017-11-30 15:17:07,FALSE,NA,"936252758738468865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jojofiola",5,TRUE,FALSE,NA,NA
"971","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:15:10,FALSE,NA,"936252268428570624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","nenee_eu",637,TRUE,FALSE,NA,NA
"972","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:13:46,FALSE,NA,"936251919500267520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OriolSM2001",637,TRUE,FALSE,NA,NA
"973","RT @MfHau: Asking @sapoconcho how things are going in #Catalonia: 
-Well, we can't complain
-Everything's alright then?
-No no, I mean we l…",FALSE,0,NA,2017-11-30 15:12:48,FALSE,NA,"936251672434761733",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DjRepubliCAT",184,TRUE,FALSE,NA,NA
"974","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:12:20,FALSE,NA,"936251556625895425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlexCdba",637,TRUE,FALSE,NA,NA
"975","RT @timane: ...how come we just fight against each other. /2&gt;  

-- #Spain's envoy to #India
#Interview on @WIONews 
#Catalonia #Lessons2Le…",FALSE,0,NA,2017-11-30 15:12:14,FALSE,NA,"936251532785225728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","timane",1,TRUE,FALSE,NA,NA
"976","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:12:11,FALSE,NA,"936251517857947648",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ssfreixas",637,TRUE,FALSE,NA,NA
"977","RT @Hyperboloid_INT: New post in H<U+028F><U+1D18><U+1D07><U+0280><U+0299><U+1D0F><U+029F><U+1D0F><U+026A><U+1D05> I<U+0274><U+1D1B><U+1D07><U+029F>: #BREAKING Explosion  in #Viladecans #Catalonia. 1 dead. Catalan Police @mossos on the s…",FALSE,0,NA,2017-11-30 15:12:06,FALSE,NA,"936251497960148992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AvellanaTGN",3,TRUE,FALSE,NA,NA
"978","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:11:46,FALSE,NA,"936251412513787906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CampanetaMarta",637,TRUE,FALSE,NA,NA
"979","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:11:33,FALSE,NA,"936251361410404353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","txell_xell",637,TRUE,FALSE,NA,NA
"980","Saying that  Artés is awesome is an understatment, it's much more then that, it's  super fantastic. #catalonia",FALSE,0,NA,2017-11-30 15:11:14,FALSE,NA,"936251278681833474",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","globurl",0,FALSE,FALSE,NA,NA
"981","RT @MfHau: Asking @sapoconcho how things are going in #Catalonia: 
-Well, we can't complain
-Everything's alright then?
-No no, I mean we l…",FALSE,0,NA,2017-11-30 15:10:38,FALSE,NA,"936251127527563269",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","BonDiaRepublica",184,TRUE,FALSE,NA,NA
"982","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 15:10:25,FALSE,NA,"936251073475596289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kler_cheesecake",2130,TRUE,FALSE,NA,NA
"983","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:09:44,FALSE,NA,"936250900909260800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pereraanaya",637,TRUE,FALSE,NA,NA
"984","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:09:23,FALSE,NA,"936250816175984641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manuelmiraz",637,TRUE,FALSE,NA,NA
"985","#Catalonia https://t.co/yrD4Mf8GZU",FALSE,1,NA,2017-11-30 15:09:19,FALSE,NA,"936250798945775617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Salvadorasfri",0,FALSE,FALSE,NA,NA
"986","#Puigdemont 'will not attend' #Spain court. #catalonia https://t.co/rykHKlLm2H",FALSE,0,NA,2017-11-30 15:09:00,FALSE,NA,"936250718704623616",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","onlineplatforms",0,FALSE,FALSE,NA,NA
"987","#Catalonia https://t.co/f035W7iZ8R",FALSE,1,NA,2017-11-30 15:07:44,FALSE,NA,"936250398943383553",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mbmateo1",0,FALSE,FALSE,NA,NA
"988","#LlibertatPresosPolítics #Catalonia https://t.co/0IaoAg9vA6",FALSE,1,NA,2017-11-30 15:07:40,FALSE,NA,"936250382849904641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Salvadorasfri",0,FALSE,FALSE,NA,NA
"989","RT @Uwe_P_Tesch: A strange understanding of democracy. #Spain has ousted, imprisoned and exiled the Catalan governm… https://t.co/2DrfIzMhDv",FALSE,0,NA,2017-11-30 15:06:23,TRUE,NA,"936250061410963456",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Catalan_Rep",0,FALSE,FALSE,NA,NA
"990","RT @jackiedeburca: One of the many #beauty #spots of #Catalonia - discover #Blanes https://t.co/K2vDQOl710",FALSE,0,NA,2017-11-30 15:06:01,FALSE,NA,"936249965801861122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hairlossclinic1",1,TRUE,FALSE,NA,NA
"991","RT @KarnaMikko: I strongly recommend everyone to sign this petition for #Catalonia's leaders immediate release. #helpcatalonia https://t.co…",FALSE,0,NA,2017-11-30 15:05:39,FALSE,NA,"936249875490050052",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","OscarMuS",811,TRUE,FALSE,NA,NA
"992","Challenge for #Catalonia is simple: increased autonomy &amp; progressive agenda VS authoritative repression &amp; corruptio… https://t.co/S1gXYm8n2t",FALSE,0,NA,2017-11-30 15:05:21,TRUE,NA,"936249800491720704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EUproForum",0,FALSE,FALSE,NA,NA
"993","RT @denterd: The Spanish ""democracy"" forbids the yellow awareness ribbons (to show solidarity with the jailed ministers of #Catalonia) duri…",FALSE,0,NA,2017-11-30 15:05:21,FALSE,NA,"936249798247813121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sabarcamarin",2130,TRUE,FALSE,NA,NA
"994","RT @ramontremosa: Radios in #Catalan language: audience reaches record high ever, clearly leading marketshare in #Catalonia

Congratulation…",FALSE,0,NA,2017-11-30 15:04:42,FALSE,NA,"936249637018767361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MerceFib",92,TRUE,FALSE,NA,NA
"995","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:03:18,FALSE,NA,"936249283212382208",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Tamoteke",637,TRUE,FALSE,NA,NA
"996","RT @MfHau: Asking @sapoconcho how things are going in #Catalonia: 
-Well, we can't complain
-Everything's alright then?
-No no, I mean we l…",FALSE,0,NA,2017-11-30 15:03:00,FALSE,NA,"936249207811465216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cestlaviv",184,TRUE,FALSE,NA,NA
"997","Cuando se darán cuenta que los que quieren la República es el pueblo catalan... por mucho que metan en la cárcel a… https://t.co/0lBbwnQO9C",FALSE,2,NA,2017-11-30 15:02:32,TRUE,NA,"936249089188155392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Diego7fs",0,FALSE,FALSE,NA,NA
"998","RT @KarnaMikko: I guess #Spain will next ban #Catalonia's flag and yellow ribbons... This is is absolutely crazy. Wake up #Europe and #Help…",FALSE,0,NA,2017-11-30 15:01:53,FALSE,NA,"936248927468380161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LluisRiba",637,TRUE,FALSE,NA,NA
